0,0,0,0.0083920956
-1.016,-0.74,1.76,0.0895740986
-1.284,-0.424,2.004,0.1609699726
-0.864,-0.084,2.028,0.232350111
-1.208,-0.444,2.044,0.3036940098
-0.552,-0.764,1.94,0.3750269413
-0.42,-0.492,2.044,0.4471809864
-0.48,-0.188,2.044,0.5185539722
-1.036,-0.452,2.044,0.5899269581
-0.5,-0.308,2.044,0.6613709927
-0.404,-0.044,2.044,0.7328310013
-0.836,-0.86,0.96,0.8042631149
-1.744,-0.02,2.044,0.8756930828
0.096,-0.572,2.044,0.9470591545
-1.108,-0.292,2.044,1.0184290409
-0.632,-0.464,2.044,1.0898070335
-1.064,-0.404,2.044,1.1611580849
-0.396,-0.244,2.044,1.2325251102
-0.716,-0.676,1.988,1.303907156
-1.028,-0.732,1.94,1.3752729893
-0.596,-0.748,1.916,1.4466609955
-0.984,-0.132,2.044,1.5180530548
-0.972,-0.176,2.044,1.5894761086
-0.536,-0.76,1.66,1.6608941555
-0.548,-0.284,2.044,1.7322981358
-0.236,-0.368,2.044,1.8036429882
-0.7,-0.488,2.044,1.8749649525
-0.392,-0.188,2.044,1.9548211098
-1.08,0.036,2.044,2.0262100697
-1.692,-1.376,2.02,2.0975501537
-0.968,-0.016,2.044,2.1689300537
-0.584,-0.376,1.896,2.240267992
-0.636,-0.204,2.044,2.3115971088
-0.852,-0.452,2.044,2.3828821182
-0.472,-0.572,2.044,2.4541909695
-0.784,-0.544,2.044,2.5256700516
-0.92,-0.56,1.908,2.5972421169
-1.324,-0.76,1.62,2.6688261032
-1.064,-0.128,2.044,2.7403509617
-0.736,-0.096,2.044,2.8119001389
-1.084,-0.084,1.816,2.8834879398
-0.172,-0.748,1.86,2.955119133
-0.488,-0.216,2.044,3.0266571045
-1.988,-1.14,2.044,3.0982460976
0.028,-0.632,2.044,3.1700530052
-0.604,0.132,2.044,3.2414669991
-1.64,0.8,1.532,3.3128249645
-1.232,0.368,2.044,3.3841760159
-0.004,-0.084,2.044,3.4555380344
-2.048,-2.048,1.512,3.5268959999
-1.8,-0.208,2.044,3.5980780125
